Id,Img Id,Da,Dp,FWidth,FLength,FThickness,ELength,EThickness,EWidth,Volume,Area,Perimeter,CHull  Area,CHull Perimeter,Sphericity,L/T Ratio,T/L Aspect Ratio,Compactness,Roundness,Ellipse Ratio,Circularity,Solidity,Concavity,Convexity,Extent,hash,Transparency,Curvature,Surface Area,Filter0,Filter1,Filter2,Filter3,Filter4,Filter5,Filter6,L/W Ratio,W/L Ratio,W/T Ratio,T/W Ratio,CHull Surface Area,Sieve,Angularity,Ellipticity,Fiber Length,Fiber Width
 , ,mm,mm,mm,mm,mm,mm,mm,mm,mm³,mm²,mm,mm²,mm, , , , , , , , , , , , , , ,mm², , , , , , , , , , , ,mm²,mm, , ,mm,mm
2465,15712,5.78,7.573,6.44,8.302,4.76,8.237,4.451,6.057,133.264,26.236,23.79,29.729,20.678,0.763,1.744,0.573,0.696,0.485,0.54,0.583,0.882,0.118,0.869,0.664,0,0.141,0,104.944,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.289,0.776,1.353,0.739,118.918,5.6,23.655,1.851,12.006,2.184
745,8176,5.033,8.046,4.481,8.74,3.892,8.753,3.356,4.278,79.83,19.892,25.278,26.857,20.809,0.625,2.245,0.445,0.576,0.332,0.383,0.391,0.741,0.259,0.823,0.585,0,0.183,0,79.568,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.95,0.513,1.151,0.869,107.429,4.187,23.596,2.608,11.665,1.437
1544,10722,5.228,8.838,4.218,11.464,3.725,10.584,3.455,3.941,94.303,21.463,27.767,27.723,23.68,0.591,3.078,0.325,0.456,0.208,0.326,0.35,0.774,0.226,0.853,0.503,0,0.279,2.499,85.852,Reject,Reject,Reject,Reject,Reject,Reject,Reject,2.718,0.368,1.132,0.883,110.891,3.971,25,3.064,13.362,1.408
1928,12288,4.904,6.638,6.189,7.389,3.656,6.955,3.484,5.972,87.557,18.888,20.853,22.306,18.038,0.739,2.021,0.495,0.664,0.44,0.501,0.546,0.847,0.153,0.865,0.699,0,0.216,0,75.553,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.194,0.838,1.693,0.591,89.223,4.923,19.388,1.996,11.91,1.944
1137,9280,4.376,4.837,4.034,6.57,3.523,6.338,3.398,4.087,48.891,15.037,15.196,15.381,14.98,0.905,1.865,0.536,0.666,0.444,0.536,0.818,0.978,0.022,0.986,0.65,0,0.159,0,60.146,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.628,0.614,1.145,0.873,61.523,3.779,21.081,1.865,4.275,3.193
2489,15875,5.52,8.116,4.23,10.627,3.505,11.551,3.1,4.06,82.511,23.93,25.496,28.429,23.324,0.68,3.032,0.33,0.519,0.27,0.268,0.463,0.842,0.158,0.915,0.642,0,0.168,0,95.72,Reject,Reject,Reject,Reject,Reject,Reject,Reject,2.512,0.398,1.207,0.829,113.715,3.868,24.96,3.727,11.971,1.765
3391,29756,5.213,5.597,4.637,7.886,3.49,7.578,3.432,4.46,66.807,21.344,17.584,21.646,17.389,0.931,2.26,0.443,0.661,0.437,0.453,0.867,0.986,0.014,0.989,0.776,0,0.144,0,85.375,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.701,0.588,1.329,0.753,86.583,4.063,14.762,2.208,0,0
2304,14477,3.903,4.784,3.631,5.986,3.488,5.734,3.349,3.56,39.69,11.961,15.03,12.858,13.231,0.816,1.716,0.583,0.652,0.425,0.584,0.665,0.93,0.07,0.88,0.573,0,0.175,0,47.846,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.648,0.607,1.041,0.96,51.433,3.559,27.356,1.712,6.211,2.376
318,6389,3.929,4.078,3.754,4.544,3.485,4.471,3.446,3.697,31.121,12.126,12.812,12.272,12.687,0.963,1.304,0.767,0.865,0.748,0.771,0.928,0.988,0.012,0.99,0.766,0,0.15,0,48.503,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.21,0.826,1.077,0.928,49.088,3.619,20.984,1.298,0,0
