,feature_name,importance
0,Ellipticity,0.16737576234445228
1,CHull Surface Area,0.07794052290102088
2,Curvature,0.07251309451821825
3,Extent,0.07192583432476156
4,T/W Ratio,0.06507144984598083
5,FLength,0.04456661174018826
6,Sphericity,0.04370673374284317
7,W/L Ratio,0.035905594440323235
8,L/W Ratio,0.033738740177538536
9,Volume,0.031166098003107948
10,Surface Area,0.03084295976099749
11,ELength,0.030329874627882763
12,L/T Ratio,0.029237127562316636
13,Angularity,0.026184428549577695
14,Solidity,0.022884363024151966
15,T/L Aspect Ratio,0.01955865026287523
16,W/T Ratio,0.018386232670909428
17,Transparency,0.01689778459881516
18,Roundness,0.013056350038337652
19,EWidth,0.012913606039637935
20,CHull  Area,0.012527731959970373
21,type_micro,0.011253612087155732
22,Area,0.01066147143554979
23,Dp,0.01005506034442522
24,Sieve,0.00979988550872392
25,FThickness,0.009553694082930045
26,Ellipse Ratio,0.009413349982743421
27,Compactness,0.008457664155594126
28,FWidth,0.00790623448005161
29,Concavity,0.0076555670627037635
30,Circularity,0.0068074120673699764
31,Perimeter,0.006188918585597701
32,Fiber Width,0.00602214952492557
33,EThickness,0.005979602477635285
34,Fiber Length,0.0057391556950812115
35,CHull Perimeter,0.003908831154525268
36,Convexity,0.0038678402210801503
